advice,run,phase,latency_ns
no_hint,0,cpu_baseline,33804300
no_hint,0,post_migration,689416500
no_hint,1,cpu_baseline,32624900
no_hint,1,post_migration,685692600
no_hint,2,cpu_baseline,32389200
no_hint,2,post_migration,691822100
no_hint,3,cpu_baseline,34264900
no_hint,3,post_migration,683396600
no_hint,4,cpu_baseline,33277200
no_hint,4,post_migration,684877100
no_hint,5,cpu_baseline,32367100
no_hint,5,post_migration,694620700
no_hint,6,cpu_baseline,32609400
no_hint,6,post_migration,683869800
no_hint,7,cpu_baseline,32817400
no_hint,7,post_migration,729858400
no_hint,8,cpu_baseline,32909300
no_hint,8,post_migration,686948100
no_hint,9,cpu_baseline,33186000
no_hint,9,post_migration,712767300
no_hint,10,cpu_baseline,32946800
no_hint,10,post_migration,697591900
no_hint,11,cpu_baseline,32848800
no_hint,11,post_migration,691733000
no_hint,12,cpu_baseline,33059700
no_hint,12,post_migration,686824200
no_hint,13,cpu_baseline,32609200
no_hint,13,post_migration,699156900
no_hint,14,cpu_baseline,32650300
no_hint,14,post_migration,700177500
no_hint,15,cpu_baseline,33168700
no_hint,15,post_migration,701892900
no_hint,16,cpu_baseline,32367300
no_hint,16,post_migration,695305000
no_hint,17,cpu_baseline,32942800
no_hint,17,post_migration,687835100
no_hint,18,cpu_baseline,33805100
no_hint,18,post_migration,693545100
no_hint,19,cpu_baseline,34120700
no_hint,19,post_migration,685852000
no_hint,20,cpu_baseline,32428800
no_hint,20,post_migration,704528600
no_hint,21,cpu_baseline,32484000
no_hint,21,post_migration,695339100
no_hint,22,cpu_baseline,33522400
no_hint,22,post_migration,691358800
no_hint,23,cpu_baseline,32433800
no_hint,23,post_migration,687784800
no_hint,24,cpu_baseline,33167400
no_hint,24,post_migration,689176800
no_hint,25,cpu_baseline,32793600
no_hint,25,post_migration,689557000
no_hint,26,cpu_baseline,33983300
no_hint,26,post_migration,686306900
no_hint,27,cpu_baseline,32950500
no_hint,27,post_migration,690298300
no_hint,28,cpu_baseline,32644100
no_hint,28,post_migration,685359100
no_hint,29,cpu_baseline,33339600
no_hint,29,post_migration,686787300
no_hint,30,cpu_baseline,32586600
no_hint,30,post_migration,695947500
no_hint,31,cpu_baseline,40054000
no_hint,31,post_migration,711973200
no_hint,32,cpu_baseline,32687500
no_hint,32,post_migration,726543900
no_hint,33,cpu_baseline,32275600
no_hint,33,post_migration,701079300
no_hint,34,cpu_baseline,32805800
no_hint,34,post_migration,690295700
no_hint,35,cpu_baseline,32710000
no_hint,35,post_migration,692215800
no_hint,36,cpu_baseline,32452300
no_hint,36,post_migration,692421100
no_hint,37,cpu_baseline,33620000
no_hint,37,post_migration,692666800
no_hint,38,cpu_baseline,32795800
no_hint,38,post_migration,691021200
no_hint,39,cpu_baseline,33207900
no_hint,39,post_migration,701620400
read_mostly,0,cpu_baseline,36306400
read_mostly,0,post_migration,701107100
read_mostly,1,cpu_baseline,32707300
read_mostly,1,post_migration,714212500
read_mostly,2,cpu_baseline,32662400
read_mostly,2,post_migration,696084500
read_mostly,3,cpu_baseline,32628600
read_mostly,3,post_migration,697523900
read_mostly,4,cpu_baseline,32841800
read_mostly,4,post_migration,696510300
read_mostly,5,cpu_baseline,32598900
read_mostly,5,post_migration,689271100
read_mostly,6,cpu_baseline,32457500
read_mostly,6,post_migration,705439700
read_mostly,7,cpu_baseline,32711400
read_mostly,7,post_migration,701032200
read_mostly,8,cpu_baseline,32285800
read_mostly,8,post_migration,694731400
read_mostly,9,cpu_baseline,32550200
read_mostly,9,post_migration,696539100
read_mostly,10,cpu_baseline,32231300
read_mostly,10,post_migration,687848300
read_mostly,11,cpu_baseline,32479400
read_mostly,11,post_migration,697011500
read_mostly,12,cpu_baseline,32395900
read_mostly,12,post_migration,687405300
read_mostly,13,cpu_baseline,32338500
read_mostly,13,post_migration,695585300
read_mostly,14,cpu_baseline,32657900
read_mostly,14,post_migration,694712800
read_mostly,15,cpu_baseline,32704100
read_mostly,15,post_migration,694947500
read_mostly,16,cpu_baseline,32556600
read_mostly,16,post_migration,693320200
read_mostly,17,cpu_baseline,32245700
read_mostly,17,post_migration,695386300
read_mostly,18,cpu_baseline,32640800
read_mostly,18,post_migration,689552300
read_mostly,19,cpu_baseline,32235500
read_mostly,19,post_migration,690984900
read_mostly,20,cpu_baseline,32231400
