pattern,run,phase,latency_ns
sequential,0,cpu_baseline,32226000
sequential,0,post_migration,421670500
sequential,1,cpu_baseline,32270800
sequential,1,post_migration,421831600
sequential,2,cpu_baseline,32342300
sequential,2,post_migration,422253000
sequential,3,cpu_baseline,32372500
sequential,3,post_migration,423705300
sequential,4,cpu_baseline,32377300
sequential,4,post_migration,427271600
sequential,5,cpu_baseline,32414100
sequential,5,post_migration,428621100
sequential,6,cpu_baseline,32417200
sequential,6,post_migration,429205100
sequential,7,cpu_baseline,32467900
sequential,7,post_migration,429286000
sequential,8,cpu_baseline,32471600
sequential,8,post_migration,430978200
sequential,9,cpu_baseline,32559000
sequential,9,post_migration,433581400
sequential,10,cpu_baseline,32576800
sequential,10,post_migration,436734400
sequential,11,cpu_baseline,32578800
sequential,11,post_migration,438327700
sequential,12,cpu_baseline,32594800
sequential,12,post_migration,438469600
sequential,13,cpu_baseline,32605100
sequential,13,post_migration,444300800
sequential,14,cpu_baseline,32635400
sequential,14,post_migration,476931700
sequential,15,cpu_baseline,32642700
sequential,15,post_migration,477149400
sequential,16,cpu_baseline,32649500
sequential,16,post_migration,478000800
sequential,17,cpu_baseline,32670600
sequential,17,post_migration,485822700
sequential,18,cpu_baseline,32673100
sequential,18,post_migration,487230000
sequential,19,cpu_baseline,32730500
sequential,19,post_migration,489642800
sequential,20,cpu_baseline,32806700
sequential,20,post_migration,492241600
sequential,21,cpu_baseline,32838200
sequential,21,post_migration,495051200
sequential,22,cpu_baseline,32874800
sequential,22,post_migration,500781900
sequential,23,cpu_baseline,32910600
sequential,23,post_migration,505455800
sequential,24,cpu_baseline,32969900
sequential,24,post_migration,516171700
sequential,25,cpu_baseline,33012300
sequential,25,post_migration,539694700
sequential,26,cpu_baseline,33075900
sequential,26,post_migration,540685300
sequential,27,cpu_baseline,33099900
sequential,27,post_migration,542397900
sequential,28,cpu_baseline,33185600
sequential,28,post_migration,583484600
sequential,29,cpu_baseline,33345700
sequential,29,post_migration,599676000
sequential,30,cpu_baseline,33383500
sequential,30,post_migration,607255400
sequential,31,cpu_baseline,33567500
sequential,31,post_migration,624442400
sequential,32,cpu_baseline,33646400
sequential,32,post_migration,625418100
sequential,33,cpu_baseline,33680800
sequential,33,post_migration,627844700
sequential,34,cpu_baseline,33800200
sequential,34,post_migration,633117000
sequential,35,cpu_baseline,33869100
sequential,35,post_migration,672774700
sequential,36,cpu_baseline,34027200
sequential,36,post_migration,674297400
sequential,37,cpu_baseline,34529700
sequential,37,post_migration,688649600
sequential,38,cpu_baseline,35246500
sequential,38,post_migration,698957700
sequential,39,cpu_baseline,64997500
sequential,39,post_migration,716882300
sequential,40,cpu_baseline,65251700
sequential,40,post_migration,718325600
sequential,41,cpu_baseline,66711700
sequential,41,post_migration,725407400
sequential,42,cpu_baseline,94433800
sequential,42,post_migration,792589600
sequential,43,cpu_baseline,96462700
sequential,43,post_migration,832807000
sequential,44,cpu_baseline,102012800
sequential,44,post_migration,836902200
sequential,45,cpu_baseline,106605500
sequential,45,post_migration,879428600
sequential,46,cpu_baseline,108550000
sequential,46,post_migration,887504700
sequential,47,cpu_baseline,111911300
sequential,47,post_migration,905404600
sequential,48,cpu_baseline,116973600
sequential,48,post_migration,918221400
sequential,49,cpu_baseline,132317900
sequential,49,post_migration,951642300
strided,0,cpu_baseline,1448300
strided,0,post_migration,388339200
strided,1,cpu_baseline,1462100
strided,1,post_migration,390893800
strided,2,cpu_baseline,1511300
strided,2,post_migration,391663100
strided,3,cpu_baseline,1512400
strided,3,post_migration,392361200
strided,4,cpu_baseline,1518700
strided,4,post_migration,392961700
strided,5,cpu_baseline,1549900
strided,5,post_migration,394472300
strided,6,cpu_baseline,1558600
strided,6,post_migration,395645400
strided,7,cpu_baseline,1560800
strided,7,post_migration,396464800
strided,8,cpu_baseline,1564200
strided,8,post_migration,397910000
strided,9,cpu_baseline,1571000
strided,9,post_migration,399166900
strided,10,cpu_baseline,1573800
strided,10,post_migration,401428600
strided,11,cpu_baseline,1574600
strided,11,post_migration,403985200
strided,12,cpu_baseline,1574900
strided,12,post_migration,410183800
strided,13,cpu_baseline,1575300
strided,13,post_migration,414296900
strided,14,cpu_baseline,1579600
strided,14,post_migration,521422300
strided,15,cpu_baseline,1586600
strided,15,post_migration,524301900
strided,16,cpu_baseline,1595000
strided,16,post_migration,533397900
strided,17,cpu_baseline,1608800
strided,17,post_migration,542287800
strided,18,cpu_baseline,1612900
strided,18,post_migration,544210500
strided,19,cpu_baseline,1616100
strided,19,post_migration,550504400
strided,20,cpu_baseline,1616600
strided,20,post_migration,557039900
strided,21,cpu_baseline,1622000
strided,21,post_migration,578256000
strided,22,cpu_baseline,1622500
strided,22,post_migration,582076000
strided,23,cpu_baseline,1637200
strided,23,post_migration,584666200
