size_bytes,strategy,run,gpu_time_us
1048576,on_demand,0,14
1048576,explicit_prefetch,0,13
1048576,on_demand,1,20
1048576,explicit_prefetch,1,22
1048576,on_demand,2,19
1048576,explicit_prefetch,2,19
1048576,on_demand,3,20
1048576,explicit_prefetch,3,18
1048576,on_demand,4,20
1048576,explicit_prefetch,4,43
1048576,on_demand,5,19
1048576,explicit_prefetch,5,18
1048576,on_demand,6,18
1048576,explicit_prefetch,6,18
1048576,on_demand,7,39
1048576,explicit_prefetch,7,21
1048576,on_demand,8,19
1048576,explicit_prefetch,8,21
1048576,on_demand,9,19
1048576,explicit_prefetch,9,17
1048576,on_demand,10,18
1048576,explicit_prefetch,10,12
1048576,on_demand,11,19
1048576,explicit_prefetch,11,19
1048576,on_demand,12,28
1048576,explicit_prefetch,12,21
1048576,on_demand,13,19
1048576,explicit_prefetch,13,39
1048576,on_demand,14,18
1048576,explicit_prefetch,14,18
1048576,on_demand,15,18
1048576,explicit_prefetch,15,41
1048576,on_demand,16,18
1048576,explicit_prefetch,16,18
1048576,on_demand,17,17
1048576,explicit_prefetch,17,39
1048576,on_demand,18,18
1048576,explicit_prefetch,18,17
1048576,on_demand,19,16
1048576,explicit_prefetch,19,18
2097152,on_demand,0,32
2097152,explicit_prefetch,0,31
2097152,on_demand,1,28
2097152,explicit_prefetch,1,27
2097152,on_demand,2,28
2097152,explicit_prefetch,2,28
2097152,on_demand,3,37
2097152,explicit_prefetch,3,27
2097152,on_demand,4,28
2097152,explicit_prefetch,4,29
2097152,on_demand,5,26
2097152,explicit_prefetch,5,29
2097152,on_demand,6,27
2097152,explicit_prefetch,6,27
2097152,on_demand,7,26
2097152,explicit_prefetch,7,29
2097152,on_demand,8,27
2097152,explicit_prefetch,8,30
2097152,on_demand,9,28
2097152,explicit_prefetch,9,28
2097152,on_demand,10,27
2097152,explicit_prefetch,10,26
2097152,on_demand,11,27
2097152,explicit_prefetch,11,29
2097152,on_demand,12,28
2097152,explicit_prefetch,12,27
2097152,on_demand,13,30
2097152,explicit_prefetch,13,28
2097152,on_demand,14,26
2097152,explicit_prefetch,14,28
2097152,on_demand,15,28
2097152,explicit_prefetch,15,27
2097152,on_demand,16,27
2097152,explicit_prefetch,16,28
2097152,on_demand,17,27
2097152,explicit_prefetch,17,27
2097152,on_demand,18,27
2097152,explicit_prefetch,18,27
2097152,on_demand,19,26
2097152,explicit_prefetch,19,29
4194304,on_demand,0,45
4194304,explicit_prefetch,0,51
4194304,on_demand,1,46
4194304,explicit_prefetch,1,43
4194304,on_demand,2,52
4194304,explicit_prefetch,2,40
4194304,on_demand,3,43
4194304,explicit_prefetch,3,39
4194304,on_demand,4,41
4194304,explicit_prefetch,4,41
4194304,on_demand,5,40
4194304,explicit_prefetch,5,43
4194304,on_demand,6,39
4194304,explicit_prefetch,6,57
4194304,on_demand,7,41
4194304,explicit_prefetch,7,40
4194304,on_demand,8,40
4194304,explicit_prefetch,8,43
4194304,on_demand,9,40
4194304,explicit_prefetch,9,40
4194304,on_demand,10,39
4194304,explicit_prefetch,10,52
4194304,on_demand,11,54
4194304,explicit_prefetch,11,39
4194304,on_demand,12,39
4194304,explicit_prefetch,12,40
4194304,on_demand,13,46
4194304,explicit_prefetch,13,39
4194304,on_demand,14,64
4194304,explicit_prefetch,14,41
4194304,on_demand,15,40
4194304,explicit_prefetch,15,41
4194304,on_demand,16,39
4194304,explicit_prefetch,16,40
4194304,on_demand,17,40
4194304,explicit_prefetch,17,40
4194304,on_demand,18,40
4194304,explicit_prefetch,18,41
4194304,on_demand,19,41
4194304,explicit_prefetch,19,41
8388608,on_demand,0,83
8388608,explicit_prefetch,0,86
8388608,on_demand,1,80
8388608,explicit_prefetch,1,104
8388608,on_demand,2,77
8388608,explicit_prefetch,2,77
8388608,on_demand,3,76
8388608,explicit_prefetch,3,80
8388608,on_demand,4,76
8388608,explicit_prefetch,4,76
8388608,on_demand,5,80
8388608,explicit_prefetch,5,76
8388608,on_demand,6,76
8388608,explicit_prefetch,6,81
8388608,on_demand,7,76
8388608,explicit_prefetch,7,89
8388608,on_demand,8,76
8388608,explicit_prefetch,8,80
8388608,on_demand,9,79
8388608,explicit_prefetch,9,78
8388608,on_demand,10,78
8388608,explicit_prefetch,10,78
8388608,on_demand,11,78
8388608,explicit_prefetch,11,78
8388608,on_demand,12,78
8388608,explicit_prefetch,12,79
8388608,on_demand,13,81
8388608,explicit_prefetch,13,90
8388608,on_demand,14,91
8388608,explicit_prefetch,14,81
8388608,on_demand,15,79
8388608,explicit_prefetch,15,81
8388608,on_demand,16,79
8388608,explicit_prefetch,16,80
8388608,on_demand,17,81
8388608,explicit_prefetch,17,81
8388608,on_demand,18,79
8388608,explicit_prefetch,18,80
8388608,on_demand,19,79
8388608,explicit_prefetch,19,90
16777216,on_demand,0,147
16777216,explicit_prefetch,0,139
16777216,on_demand,1,136
16777216,explicit_prefetch,1,153
16777216,on_demand,2,134
