iteration,latency_ns,type
0,8103500,cpu
0,8341400,gpu
1,9008700,cpu
1,8135200,gpu
2,9074300,cpu
2,8753900,gpu
3,9845900,cpu
3,8392500,gpu
4,10341600,cpu
4,9228100,gpu
5,8747800,cpu
5,8394700,gpu
6,8872000,cpu
6,8502900,gpu
7,8594600,cpu
7,8184600,gpu
8,8568400,cpu
8,8135900,gpu
9,8100300,cpu
9,8147100,gpu
10,8158600,cpu
10,8760600,gpu
11,8098600,cpu
11,8439300,gpu
12,8285300,cpu
12,8071700,gpu
13,8305000,cpu
13,9377000,gpu
14,8356600,cpu
14,8500100,gpu
15,8897100,cpu
15,8372700,gpu
16,8118900,cpu
16,8649300,gpu
17,8480500,cpu
17,8579200,gpu
18,8615000,cpu
18,8575700,gpu
19,8421000,cpu
19,9816300,gpu
20,8265600,cpu
20,8533600,gpu
21,8892600,cpu
21,8395300,gpu
22,8301700,cpu
22,8446700,gpu
23,8450200,cpu
23,8176500,gpu
24,9067400,cpu
24,8069800,gpu
25,8219200,cpu
25,8164500,gpu
26,9680500,cpu
26,8988700,gpu
27,8087800,cpu
27,8173500,gpu
28,8118500,cpu
28,8736200,gpu
29,8841800,cpu
29,8304300,gpu
30,8922100,cpu
30,8764500,gpu
31,8121600,cpu
31,8404800,gpu
32,8217400,cpu
32,8181600,gpu
33,9640500,cpu
33,9174500,gpu
34,8399900,cpu
34,9161500,gpu
35,8121300,cpu
35,8768900,gpu
36,9405600,cpu
36,8068600,gpu
37,8282400,cpu
37,8982300,gpu
38,8131200,cpu
38,8144700,gpu
39,8073700,cpu
39,8074600,gpu
40,8064400,cpu
40,8566400,gpu
41,8406300,cpu
41,10033900,gpu
42,8160200,cpu
42,8058600,gpu
43,8081800,cpu
43,8572900,gpu
44,9258100,cpu
44,8218800,gpu
45,8341300,cpu
45,8945300,gpu
46,8262700,cpu
46,8384000,gpu
47,8359600,cpu
47,8126900,gpu
48,8311600,cpu
48,8139800,gpu
49,8161400,cpu
49,8383900,gpu
