size_bytes,access_type,run,latency_ns
1024,cpu_baseline,0,403700
1024,post_migration,0,424500
1024,cpu_baseline,1,500
1024,post_migration,1,438100
1024,cpu_baseline,2,800
1024,post_migration,2,436400
1024,cpu_baseline,3,500
1024,post_migration,3,422200
1024,cpu_baseline,4,700
1024,post_migration,4,518200
1024,cpu_baseline,5,700
1024,post_migration,5,419400
1024,cpu_baseline,6,700
1024,post_migration,6,418600
1024,cpu_baseline,7,800
1024,post_migration,7,428000
1024,cpu_baseline,8,600
1024,post_migration,8,418600
1024,cpu_baseline,9,500
1024,post_migration,9,433100
1024,cpu_baseline,10,500
1024,post_migration,10,426700
1024,cpu_baseline,11,800
1024,post_migration,11,453500
1024,cpu_baseline,12,700
1024,post_migration,12,405100
1024,cpu_baseline,13,600
1024,post_migration,13,406100
1024,cpu_baseline,14,700
1024,post_migration,14,401200
1024,cpu_baseline,15,600
1024,post_migration,15,442700
1024,cpu_baseline,16,900
1024,post_migration,16,400300
1024,cpu_baseline,17,700
1024,post_migration,17,427200
1024,cpu_baseline,18,700
1024,post_migration,18,456900
1024,cpu_baseline,19,700
1024,post_migration,19,438900
1024,cpu_baseline,20,600
1024,post_migration,20,443600
1024,cpu_baseline,21,800
1024,post_migration,21,448200
1024,cpu_baseline,22,700
1024,post_migration,22,449200
1024,cpu_baseline,23,800
1024,post_migration,23,456700
1024,cpu_baseline,24,900
1024,post_migration,24,441000
1024,cpu_baseline,25,700
1024,post_migration,25,437700
1024,cpu_baseline,26,800
1024,post_migration,26,418600
1024,cpu_baseline,27,700
1024,post_migration,27,446500
1024,cpu_baseline,28,900
1024,post_migration,28,434700
1024,cpu_baseline,29,700
1024,post_migration,29,386500
2048,cpu_baseline,0,407500
2048,post_migration,0,414400
2048,cpu_baseline,1,1400
2048,post_migration,1,426500
2048,cpu_baseline,2,1400
2048,post_migration,2,496500
2048,cpu_baseline,3,1600
2048,post_migration,3,553300
2048,cpu_baseline,4,1700
2048,post_migration,4,619300
2048,cpu_baseline,5,1500
2048,post_migration,5,425000
2048,cpu_baseline,6,1500
2048,post_migration,6,406200
2048,cpu_baseline,7,1600
2048,post_migration,7,460400
2048,cpu_baseline,8,1600
2048,post_migration,8,437300
2048,cpu_baseline,9,1400
2048,post_migration,9,628300
2048,cpu_baseline,10,2200
2048,post_migration,10,549400
2048,cpu_baseline,11,1200
2048,post_migration,11,460200
2048,cpu_baseline,12,1500
2048,post_migration,12,407800
2048,cpu_baseline,13,1400
2048,post_migration,13,401200
2048,cpu_baseline,14,1300
2048,post_migration,14,408700
2048,cpu_baseline,15,1400
2048,post_migration,15,486100
2048,cpu_baseline,16,1700
2048,post_migration,16,479800
2048,cpu_baseline,17,1500
2048,post_migration,17,442700
